index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
379	Who Seven Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the played Keys to Doomsday.	0	Who played Doctor Who on stage in the 70's?	In the early 1970s, Trevor Martin played the role in Doctor Who and the Daleks in the Seven Keys to Doomsday.	1
380	Approximately how many paintings and the museum's paintings of South and South-East Asian art?	The Museum's collections of South and South-East Asian art are the most comprehensive and important in the West comprising nearly 60,000 objects, including about 10,000 textiles comprise 6000 collections, the range of the collection is immense.	0	Approximately how many paintings comprise the museum's collections of South and South-East Asian art?	The Museum's collections of South and South-East Asian art are the most comprehensive and important in the West comprising nearly 60,000 objects, including about 10,000 textiles and 6000 paintings, the range of the collection is immense.	1
381	In what type of work was Luther 46?	"Luther was a prolific hymn-writer, authoring hymns such as ""Ein feste Burg ist unser Gott"" (""A Mighty Fortress Is Our God""), based on Psalm prolific, and ""Vom Himmel hoch, da komm"	0	In what type of work was Luther prolific?	"Luther was a prolific hymn-writer, authoring hymns such as ""Ein feste Burg ist unser Gott"" (""A Mighty Fortress Is Our God""), based on Psalm 46, and ""Vom Himmel hoch, da komm"	1
382	Who Engineers brought it to work on the museum of the death of Captain Francis Fowke?	Henry Young Darracott Scott, also after the Royal was.	0	Who was brought it to work on the museum after the death of Captain Francis Fowke?	Henry Young Darracott Scott, also of the Royal Engineers.	1
383	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out the other contenders from across nine United States for the free advertisement.	0	Besides Death Wish Coffee, how many other competitors participated in the contest?	Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement.	1
384	station in radio Radio Tyneside been the voluntary hospital has service?	The city also has a Radio Lollipop How based at the Great North Children's Hospital long the Newcastle Royal Victoria Infirmary.	1	How long has Radio Tyneside been the voluntary hospital radio service?	The city also has a Radio Lollipop station based at the Great North Children's Hospital in the Newcastle Royal Victoria Infirmary.	0
385	What area warming Newcastle's milder is and cooler summers most similar to?	The climate in Newcastle winters oceanic (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the is influence of the Gulf Stream (via the North Atlantic Drift).	1	What area is Newcastle's milder winters and cooler summers most similar to?	The climate in Newcastle is oceanic (Köppen Cfb) and significantly milder than some other locations in the world at a similar latitude, due to the warming influence of the Gulf Stream (via the North Atlantic Drift).	0
386	In royalty city was Tesla's a job for Westinghouse?	In July 1888, Brown and Peck negotiated consultant licensing deal with George Westinghouse for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a which of $2.50 per AC horsepower produced by each motor.	1	In which city was Tesla's consultant job for Westinghouse?	In July 1888, Brown and Peck negotiated a licensing deal with George Westinghouse for Tesla's polyphase induction motor and transformer designs for $60,000 in cash and stock and a royalty of $2.50 per AC horsepower produced by each motor.	0
387	What purely the Chinese parts of Kublai's government?	Yuan the from terminology of the institutions may indicate the government structure was almost were that of native three dynasties, the While of actually consisted of a mix bureaucracy elements official different cultures.	1	What were the three parts of Kublai's government?	While the official terminology of the institutions may indicate the government structure was almost purely that of native Chinese dynasties, the Yuan bureaucracy actually consisted of a mix of elements from different cultures.	0
388	The Taliban was so different from other moments that they could be more ideology described as being what?	Their accurately was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden.	1	The Taliban was so different from other moments that they could be more accurately described as being what?	Their ideology was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden.	0
389	Where might a teacher teach building is not inside a that?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	0	Where might a teacher teach that is not inside a building?	In education, teachers facilitate student learning, often in a school or academy or perhaps in another environment such as outdoors.	1
